2026-03-17 20:09:50 | INFO     | evaluate_model | [6/70] 00019_fo (gt_mode=full)
atched_iou=0.7303 inst_recall=0.6667 n_pred=8
2026-03-17 20:09:50 | INFO     | evaluate_model |   satellites.raw: dice=0.6715 matched_iou=0.7929 inst_recall=0.9000 n_pred=23
2026-03-17 20:09:51 | INFO     | evaluate_model |     combined.raw: dice=0.4771 matched_iou=0.7929 inst_recall=0.7826 n_pred=25
2026-03-17 20:09:51 | INFO     | evaluate_model |      streams.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:51 | INFO     | evaluate_model |   satellites.raw: dice=0.0000 matched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:51 | INFO     | evaluate_model | [7/70] 00022_eo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:51 | INFO     | evaluate_model |      streams.raw: dice=0.3508 matched_iou=0.0000 inst_recall=0.0000 n_pred=2
2026-03-17 20:09:52 | INFO     | evaluate_model |   satellites.raw: dice=0.6357 matched_iou=0.7538 inst_recall=0.8500 n_pred=23
2026-03-17 20:09:52 | INFO     | evaluate_model |      streams.raw: dice=0.3219 matched_iou=0.0000 inst_recall=0.0000 n_pred=2
2026-03-17 20:09:52 | INFO     | evaluate_model |     combined.raw: dice=0.4785 matched_iou=0.7538 inst_recall=0.7391 n_pred=25
2026-03-17 20:09:52 | INFO     | evaluate_model |   satellites.raw: dice=0.6273 matched_iou=0.7399 inst_recall=0.8500 n_pred=22
2026-03-17 20:09:53 | INFO     | evaluate_model |     combined.raw: dice=0.4590 matched_iou=0.7399 inst_recall=0.7391 n_pred=24
2026-03-17 20:09:53 | INFO     | evaluate_model | [7/70] 00022_eo (gt_mode=full)
atched_iou=0.0000 inst_recall=0.0000 n_pred=0
2026-03-17 20:09:53 | INFO     | evaluate_model |      streams.raw: dice=0.5332 matched_iou=0.7903 inst_recall=0.3333 n_pred=5
2026-03-17 20:09:53 | INFO     | evaluate_model | [7/70] 00022_eo (gt_mode=full)

2026-03-17 20:09:53 | INFO     | evaluate_model |   satellites.raw: dice=0.7832 matched_iou=0.8111 inst_recall=1.0000 n_pred=7
